year,netprofitmargin,grossprofit,revenue,netincome,costandexpenses,costofgoodsandservices,netproft,ebit,interest,ebt,proftaftertax,grossprofitmargin,Sector
2022,210.341171935235,41023728.2832,41504000,87300000,887795.0803,480271.7168,34033409.8066,40135933.2029,96627.5481,40039305.6548,6005895.8482,98.8428302891288,2
2022,240.325865580448,29222101.725,29460000,70800000,912998.3152,237898.275,24043590.1639,28309103.4098,22526.7464,28286576.6634,4242986.4995,99.1924702138493,2
2023,153.87125724076,12026964.6411,12257000,18860000,479352.7497,230035.3589,9810793.8836,11547611.8914,5501.4401,11542110.4513,1731316.5677,98.1232327739251,2
2021,206.056452115397,15621899.531,16049000,33070000,71498.6612,427100.469,13217521.8859,15550400.8698,375.1217,15550025.7481,2332503.8622,97.3387720792573,4
2023,192.91610604022,53708751.049,54998000,106100000,1231728.1759,1289248.951,44494193.717,52477022.8731,130912.6178,52346110.2553,7851916.5383,97.655825755482,2
2021,122.138016760897,24228681.4664,24939000,30460000,472336.1299,710318.5336,20168403.492,23756345.3365,28811.8165,23727533.52,3559130.028,97.1517761995268,3
2020,58.9576667034462,26544983.9796,27189000,16030000,331658.4135,644016.0204,22257524.3723,26213325.5661,28002.7751,26185322.791,3927798.4187,97.6313361271102,2
2023,110.280658938377,25700069.8481,26224000,28920000,1163526.4223,523930.1519,20856051.6047,24536543.4258,12.1262,24536531.2996,3680479.6949,98.0020967361959,3
2022,204.634806487939,49360813.1507,50617000,103580000,2188670.3557,1256186.8493,40092184.2591,47172142.795,4867.1961,47167275.5989,7075091.3398,97.5182510830354,3
2022,179.717047205491,55830209.1417,57112000,102640000,1263795.9021,1281790.8583,46370618.7149,54566413.2396,12744.1632,54553669.0764,8183050.3615,97.7556540511626,3
2023,142.634514435696,12025382.7584,12192000,17390000,436033.4947,166617.2416,9843471.5723,11589349.2637,8794.4727,11580554.791,1737083.2187,98.6333887664042,4
2020,93.8025590257819,45683521.4522,46971000,44060000,43413.4785,1287478.5478,38755942.418,45640107.9737,44881.5996,45595226.3741,6839283.9561,97.2589926810159,1
2020,299.609349135933,29493013.8581,30206000,90500000,280936.9922,712986.1419,24772796.881,29212076.8659,67609.9471,29144466.9188,4371670.0378,97.6395876915182,2
2021,79.8388694446279,44628781.9606,45429000,36270000,1041204.4908,800218.0394,37046884.6607,43587577.4698,3007.2807,43584570.1891,6537685.5284,98.2385303673865,2
2021,195.671737733019,22783599.9838,23335000,45660000,328543.1342,551400.0162,19065566.0775,22455056.8496,24979.1114,22430077.7382,3364511.6607,97.6370258572959,2
2022,133.988936693301,17469495.4885,17897000,23980000,103657.4364,427504.5115,14735518.4468,17365838.0521,29933.997,17335904.0551,2600385.6083,97.6113062999385,2
2020,265.167972689891,51540637.8482,51556000,136710000,500423.4409,15362.1518,43274250.895,51040214.4073,129331.0014,50910883.4059,7636632.5109,99.9702029796726,2
2021,169.359076500602,58170719.8913,58993000,99910000,2867192.2134,822280.1087,46908695.8019,55303527.6779,116826.7345,55186700.9434,8278005.1415,98.606139527232,2
2023,292.489744995369,52865485.4154,52901000,154730000,1793898.613,35514.5846,43330700.762,51071586.8024,94291.7883,50977295.0141,7646594.2521,99.9328659484698,2
2021,88.5624455071468,37299224.7994,37849000,33520000,122096.7617,549775.2006,31517715.6329,37177128.0377,97462.5872,37079665.4505,5561949.8176,98.5474511860287,2
2022,77.396847273667,23175620.373,23218000,17970000,448722.3192,42379.627,19314488.3905,22726898.0538,3970.5356,22722927.5182,3408439.1277,99.8174708114394,2
2023,74.3883760400712,24136367.7928,24157000,17970000,1119412.6388,20632.2072,19515341.3653,23016955.154,57730.0183,22959225.1357,3443883.7704,99.9145911859916,3
2020,78.9232980530511,7629651.632,7653000,6040000,172185.9475,23348.368,6329335.6101,7457465.6845,11188.4962,7446277.1883,1116941.5782,99.6949122174311,2
2023,243.864171242856,17778649.8346,17846000,43520000,531603.4,67350.1654,14640709.8238,17247046.4346,22681.936,17224364.4986,2583654.6748,99.6226035783929,3
2022,193.183239524703,31355612.2896,31980000,61780000,1233073.6384,624387.7104,25597232.0614,30122538.6512,8147.9907,30114390.6605,4517158.5991,98.0475681350844,2
2020,251.076426264801,14556774.234,14864000,37320000,203501.0257,307225.766,12174816.8905,14353273.2083,29959.2195,14323313.9888,2148497.0983,97.9330882265877,2
2022,86.0103447679347,56704100.278,57807000,49720000,1009134.1154,1102899.722,47249940.9678,55694966.1626,106800.3181,55588165.8445,8338224.8767,98.0921000536267,3
2022,206.264657948086,49025954.565,50314000,103780000,464460.296,1288045.435,41188764.766,48561494.269,104123.9561,48457370.3129,7268605.5469,97.4399860178082,2
