company,year,netprofitmargin,grossprofit,revenue,netincome,costandexpenses,costofgoodsandservices,netproft,ebit,interest,ebt,proftaftertax,grossprofitmargin,YoY Revenue Change %,date,Sector
NFLX,2023,99.57556225,55362484.57,56781000,56540000,2592520.069,1418515.431,44779879.54,52769964.5,87753.2726,52682211.23,7902331.684,97.50177801,57745.60857,10/25/2023,Entertainment
TSLA,2023,256.444648,30274788.2,30568000,78390000,302002.1529,293211.8005,25432710.1,29972786.05,51950.6331,29920835.41,4488125.312,99.0407884,107349.9967,5/17/2023,Automotive Technology
NVDA,2023,173.559697,23141187.9,23502000,40790000,1003980.207,360812.1002,18808626.27,22137207.69,9412.0812,22127795.61,3319169.342,98.46476002,139655.4038,9/1/2023,Technology
AMZN,2023,239.5519578,31452614.66,31872000,76350000,801983.0504,419385.3433,26047069.76,30650631.61,7020.1197,30643611.49,4596541.723,98.68415743,102953.8247,7/14/2023,Consumer Discretionary
NVDA,2023,54.30016863,29582424.61,29650000,16100000,650657.307,67575.3897,24527298.29,28931767.3,76122.2536,28855645.05,4328346.758,99.77208975,110676.7791,1/8/2023,Technology
NVDA,2023,96.07883392,28451839.77,29226000,28080000,470063.4394,774160.2329,23757904.93,27981776.33,31299.9401,27950476.39,4192571.458,97.35112491,112283.8876,9/28/2023,Technology
GOOG,2023,194.2520127,31402293.4,32046000,62250000,287636.6539,643706.603,26422609.26,31114656.74,29234.0843,31085422.66,4662813.399,97.99130437,102394.2739,4/27/2023,Technology
NFLX,2023,167.4705814,42127158.48,42915000,71870000,1669626.289,787841.5169,34371826.75,40457532.19,20088.9642,40437443.23,6065616.484,98.16418148,76435.74508,6/23/2023,Entertainment
TSLA,2023,222.1471408,11496053.89,11839000,26300000,338688.3097,342946.1089,9468998.643,11157365.58,17367.1784,11139998.4,1670999.761,97.10325104,277333.1869,11/23/2023,Automotive Technology
BABA,2023,95.37050412,54513997.09,55384000,52820000,1191529.653,870002.9095,45224723.89,53322467.44,116909.9183,53205557.52,7980833.628,98.42914396,59204.69991,8/30/2023,Consumer Discretionary
ORCL,2023,172.9261143,39544628.78,39913000,69020000,758326.8001,368371.2248,32890812.71,38786301.98,91228.203,38695073.77,5804261.066,99.07706455,82192.27319,2/13/2023,Technology
GOOG,2023,133.316762,24019547.46,24138000,32180000,172944.0333,118452.5395,20268397.45,23846603.43,1429.9546,23845173.47,3576776.021,99.50926945,135973.0591,5/12/2023,Technology
TSLA,2023,187.5326659,49137497.06,49746000,93290000,1419461.698,608502.9384,40543244.68,47718035.36,20100.4495,47697934.91,7154690.237,98.77678017,65926.04229,5/11/2023,Automotive Technology
NVDA,2023,100.8995919,45638366.25,46799000,47220000,288663.3142,1160633.75,38500863.27,45349702.94,54569.6716,45295133.26,6794269.99,97.51996036,70083.79666,10/30/2023,Technology
GOOG,2023,211.9359585,57080272.82,57088000,120990000,2682068.713,7727.1815,46161517.03,54398204.11,90537.0125,54307667.09,8146150.064,99.98646444,57434.5344,4/2/2023,Technology
MSFT,2023,122.9572261,56119263.97,56296000,69220000,2545060.885,176736.0265,45417702.01,53574203.09,141612.493,53432590.6,8014888.589,99.68605935,58243.95872,10/25/2023,Technology
TSLA,2023,295.0697309,49388424.48,50910000,150220000,483062.895,1521575.524,41482091.6,48905361.58,102900.8738,48802460.71,7320369.106,97.0112443,64416.43096,12/25/2023,Automotive Technology
